[<Product: Product Asin = B00008BKX5>, 1313020800, 5],[<Product: Product Asin = B0002JJU1Y>, 1404000000, 4],1.0
[<Product: Product Asin = B00032KBFE>, 1389744000, 4],[<Product: Product Asin = B00032KBFE>, 1354838400, 4],1.0
[<Product: Product Asin = B0006305RY>, 1397779200, 4],[<Product: Product Asin = B000FW7V50>, 1397779200, 4],0.7904761904761904
[<Product: Product Asin = B000637TE6>, 1236988800, 5],[<Product: Product Asin = B0002KKHS8>, 1236988800, 5],0.5142857142857142
[<Product: Product Asin = B000637TE6>, 1236988800, 5],[<Product: Product Asin = B0002F9YHI>, 1236988800, 5],0.38095238095238093
[<Product: Product Asin = B00063X7KG>, 1365984000, 5],[<Product: Product Asin = B002XOXSI2>, 1365984000, 5],0.8380952380952381
[<Product: Product Asin = B00063X7KG>, 1365984000, 5],[<Product: Product Asin = B00155237W>, 1365984000, 5],0.8095238095238095
[<Product: Product Asin = B00063X7KG>, 1401148800, 5],[<Product: Product Asin = B0002U2V1Y>, 1401148800, 5],0.9904761904761905
[<Product: Product Asin = B00065L2D8>, 1371427200, 5],[<Product: Product Asin = B000Z0HVHA>, 1371427200, 4],0.780952380952381
[<Product: Product Asin = B00068XCQU>, 1386892800, 5],[<Product: Product Asin = B000NCOKZQ>, 1386892800, 5],0.9904761904761905
[<Product: Product Asin = B00068XCQU>, 1386892800, 5],[<Product: Product Asin = B000FW2MWW>, 1386892800, 5],0.5619047619047619
[<Product: Product Asin = B00068XCQU>, 1395964800, 5],[<Product: Product Asin = B000NCOKZQ>, 1395964800, 4],0.3142857142857143
[<Product: Product Asin = B0006IX7TW>, 1369180800, 4],[<Product: Product Asin = B00008BKX5>, 1313020800, 5],1.0
[<Product: Product Asin = B0006IX7TW>, 1369180800, 4],[<Product: Product Asin = B0002JJU1Y>, 1404000000, 4],1.0
[<Product: Product Asin = B0006IX7TW>, 1369180800, 4],[<Product: Product Asin = B0002KRABU>, 1404000000, 2],1.0
[<Product: Product Asin = B0006IX7TW>, 1369180800, 4],[<Product: Product Asin = B000EJS9IM>, 1292889600, 4],1.0
[<Product: Product Asin = B0006IX7TW>, 1369180800, 4],[<Product: Product Asin = B000JK2D06>, 1380067200, 5],1.0
[<Product: Product Asin = B0006IX7TW>, 1369180800, 4],[<Product: Product Asin = B0015KROXU>, 1309046400, 2],1.0
[<Product: Product Asin = B0006IX7TW>, 1369180800, 4],[<Product: Product Asin = B0015YBYCS>, 1405209600, 4],1.0
[<Product: Product Asin = B0006IX7TW>, 1369180800, 4],[<Product: Product Asin = B001KS2PXQ>, 1350518400, 4],1.0
[<Product: Product Asin = B0007OWD2M>, 1254614400, 4],[<Product: Product Asin = B0017K69MA>, 1254614400, 5],0.8285714285714286
[<Product: Product Asin = B0007QGT20>, 1322697600, 5],[<Product: Product Asin = B000BNYMX2>, 1322697600, 5],1.0
[<Product: Product Asin = B0007ZAJRM>, 1396915200, 5],[<Product: Product Asin = B0002JMLQU>, 1396915200, 5],0.780952380952381
[<Product: Product Asin = B0009IK5SK>, 1336435200, 5],[<Product: Product Asin = B0009JKI5Y>, 1339372800, 4],0.3142857142857143
[<Product: Product Asin = B0009IQX6I>, 1291248000, 5],[<Product: Product Asin = B0002U1TX0>, 1291161600, 5],0.5428571428571428
[<Product: Product Asin = B0009IQX90>, 1358294400, 5],[<Product: Product Asin = B0009IQXAE>, 1358294400, 5],0.5333333333333333
[<Product: Product Asin = B0009IQXAE>, 1358294400, 5],[<Product: Product Asin = B0009IQX90>, 1358294400, 5],0.5333333333333333
[<Product: Product Asin = B0009IQXCM>, 1219276800, 5],[<Product: Product Asin = B0002UNOYM>, 1219276800, 5],0.5904761904761905
[<Product: Product Asin = B0009IQXCM>, 1219276800, 5],[<Product: Product Asin = B0002UQATS>, 1216684800, 5],0.3238095238095238
[<Product: Product Asin = B0009IQXFO>, 1404345600, 4],[<Product: Product Asin = B003ZWZ7VM>, 1371513600, 5],0.3142857142857143
[<Product: Product Asin = B0009IQXXG>, 1391212800, 5],[<Product: Product Asin = B001O7PNS2>, 1391212800, 5],0.34285714285714286
[<Product: Product Asin = B0009IQZH0>, 1386806400, 4],[<Product: Product Asin = B00A8MZ2ZS>, 1386806400, 4],0.44761904761904764
[<Product: Product Asin = B0009IQZH0>, 1386806400, 4],[<Product: Product Asin = B003U7ZY9M>, 1386806400, 4],0.3904761904761905
[<Product: Product Asin = B0009IQZH0>, 1386806400, 4],[<Product: Product Asin = B002LNI8GW>, 1385164800, 4],0.3047619047619048
[<Product: Product Asin = B0009JKI5Y>, 1339372800, 4],[<Product: Product Asin = B0009IK5SK>, 1336435200, 5],0.3142857142857143
[<Product: Product Asin = B0009JKIRC>, 1333929600, 2],[<Product: Product Asin = B000BPSW7C>, 1329091200, 4],0.41904761904761906
[<Product: Product Asin = B0009JKISG>, 1231286400, 5],[<Product: Product Asin = B000F7VKD4>, 1231632000, 5],0.6571428571428571
[<Product: Product Asin = B0009OMY92>, 1378857600, 4],[<Product: Product Asin = B000OQMHEC>, 1378857600, 3],0.44761904761904764
[<Product: Product Asin = B000AL2RI2>, 1296604800, 5],[<Product: Product Asin = B000AL8VD2>, 1296604800, 5],0.6571428571428571
[<Product: Product Asin = B000AL8VD2>, 1383350400, 5],[<Product: Product Asin = B0002UEOLO>, 1383350400, 5],0.41904761904761906
[<Product: Product Asin = B000AL8VD2>, 1296604800, 5],[<Product: Product Asin = B000AL2RI2>, 1296604800, 5],0.6571428571428571
[<Product: Product Asin = B000AME50O>, 1362700800, 5],[<Product: Product Asin = B000BPSW7C>, 1365638400, 5],0.5904761904761905
[<Product: Product Asin = B000AMLWH8>, 1405123200, 4],[<Product: Product Asin = B0089LSMSE>, 1404432000, 5],0.45714285714285713
[<Product: Product Asin = B000B68V6I>, 1397952000, 5],[<Product: Product Asin = B000UJG0LE>, 1397952000, 5],0.7619047619047619
[<Product: Product Asin = B000B8JUNY>, 1369008000, 4],[<Product: Product Asin = B000VKTUE6>, 1368316800, 5],0.3047619047619048
[<Product: Product Asin = B000BMWXZM>, 1291939200, 5],[<Product: Product Asin = B000BN3A4Y>, 1291939200, 5],0.9142857142857143
[<Product: Product Asin = B000BN3A4Y>, 1291939200, 5],[<Product: Product Asin = B000BMWXZM>, 1291939200, 5],0.9142857142857143
[<Product: Product Asin = B000BNYMX2>, 1322697600, 5],[<Product: Product Asin = B0007QGT20>, 1322697600, 5],1.0
[<Product: Product Asin = B000BO8Z9I>, 1359676800, 5],[<Product: Product Asin = B0002V9LAW>, 1359676800, 5],0.45714285714285713
[<Product: Product Asin = B000BPSW7C>, 1329091200, 4],[<Product: Product Asin = B0009JKIRC>, 1333929600, 2],0.41904761904761906
[<Product: Product Asin = B000BPSW7C>, 1365638400, 5],[<Product: Product Asin = B000AME50O>, 1362700800, 5],0.5904761904761905
[<Product: Product Asin = B000BYB2J8>, 1356480000, 5],[<Product: Product Asin = B005JU5W54>, 1356480000, 5],0.8571428571428571
[<Product: Product Asin = B000BYEMFO>, 1354924800, 2],[<Product: Product Asin = B000BZG29W>, 1354924800, 2],0.5047619047619047
[<Product: Product Asin = B000BZG29W>, 1354924800, 2],[<Product: Product Asin = B000BYEMFO>, 1354924800, 2],0.5047619047619047
[<Product: Product Asin = B000BZIFV0>, 1382918400, 5],[<Product: Product Asin = B002EBSLA4>, 1382918400, 5],0.9428571428571428
[<Product: Product Asin = B000C11PYW>, 1392940800, 1],[<Product: Product Asin = B002ZBWKDC>, 1392940800, 1],0.8761904761904762
[<Product: Product Asin = B000C3XD9U>, 1243641600, 5],[<Product: Product Asin = B000E2CVI8>, 1243641600, 5],0.8571428571428571
[<Product: Product Asin = B000C4087O>, 1334880000, 5],[<Product: Product Asin = B000C427MI>, 1334707200, 5],0.45714285714285713
[<Product: Product Asin = B000C427MI>, 1334707200, 5],[<Product: Product Asin = B000C4087O>, 1334880000, 5],0.45714285714285713
[<Product: Product Asin = B000CIJ308>, 1344384000, 5],[<Product: Product Asin = B001VMNHX8>, 1385510400, 4],0.3904761904761905
[<Product: Product Asin = B000CIPHUI>, 1399680000, 5],[<Product: Product Asin = B000FW2MWW>, 1399680000, 5],0.49523809523809526
[<Product: Product Asin = B000CIPHUI>, 1399680000, 5],[<Product: Product Asin = B002DU3TTO>, 1399680000, 5],0.49523809523809526
[<Product: Product Asin = B000CMHKRC>, 1396828800, 5],[<Product: Product Asin = B000EH4V0Y>, 1396828800, 5],0.5523809523809524
[<Product: Product Asin = B000CMHKRC>, 1396828800, 5],[<Product: Product Asin = B000RFUF12>, 1396828800, 5],0.5142857142857142
[<Product: Product Asin = B000CODGYQ>, 1385942400, 5],[<Product: Product Asin = B003CG9PIC>, 1385942400, 5],0.8
[<Product: Product Asin = B000CPI5Z0>, 1401580800, 5],[<Product: Product Asin = B0002STTPW>, 1401580800, 5],0.3238095238095238
[<Product: Product Asin = B000DINKPQ>, 1259625600, 5],[<Product: Product Asin = B000FKKOK6>, 1255046400, 5],0.8666666666666667
[<Product: Product Asin = B000DINKPQ>, 1282435200, 5],[<Product: Product Asin = B000FKKOK6>, 1282435200, 5],0.9904761904761905
[<Product: Product Asin = B000DN7T3A>, 1386720000, 5],[<Product: Product Asin = B000FKKOK6>, 1386720000, 5],0.9238095238095239
[<Product: Product Asin = B000E2CVI8>, 1243641600, 5],[<Product: Product Asin = B000C3XD9U>, 1243641600, 5],0.8571428571428571
[<Product: Product Asin = B000E8T80Q>, 1374796800, 2],[<Product: Product Asin = B000E8V9RG>, 1374796800, 2],0.819047619047619
[<Product: Product Asin = B000E8T80Q>, 1374796800, 2],[<Product: Product Asin = B000E8T810>, 1374796800, 2],0.7904761904761904
[<Product: Product Asin = B000E8T810>, 1374796800, 2],[<Product: Product Asin = B000E8T80Q>, 1374796800, 2],0.7904761904761904
[<Product: Product Asin = B000E8T810>, 1374796800, 2],[<Product: Product Asin = B000E8V9RG>, 1374796800, 2],0.780952380952381
[<Product: Product Asin = B000E8T81U>, 1393459200, 5],[<Product: Product Asin = B000E8V9RG>, 1393459200, 5],0.3619047619047619
[<Product: Product Asin = B000E8T81U>, 1363392000, 5],[<Product: Product Asin = B000E8XFOQ>, 1363392000, 5],0.3619047619047619
[<Product: Product Asin = B000E8T83S>, 1399680000, 5],[<Product: Product Asin = B000E8V9RG>, 1399680000, 5],0.4666666666666667
[<Product: Product Asin = B000E8V9RG>, 1393459200, 5],[<Product: Product Asin = B000E8T81U>, 1393459200, 5],0.3619047619047619
[<Product: Product Asin = B000E8V9RG>, 1399680000, 5],[<Product: Product Asin = B000E8T83S>, 1399680000, 5],0.4666666666666667
[<Product: Product Asin = B000E8V9RG>, 1374796800, 2],[<Product: Product Asin = B000E8T80Q>, 1374796800, 2],0.819047619047619
[<Product: Product Asin = B000E8V9RG>, 1374796800, 2],[<Product: Product Asin = B000E8T810>, 1374796800, 2],0.780952380952381
[<Product: Product Asin = B000E8XFOQ>, 1363392000, 5],[<Product: Product Asin = B000E8T81U>, 1363392000, 5],0.3619047619047619
[<Product: Product Asin = B000E9TS6O>, 1385424000, 5],[<Product: Product Asin = B00GG9FB8U>, 1390867200, 5],0.7333333333333333
[<Product: Product Asin = B000EDOT9Q>, 1359504000, 5],[<Product: Product Asin = B000EDST24>, 1359504000, 5],0.38095238095238093
[<Product: Product Asin = B000EDST24>, 1359504000, 5],[<Product: Product Asin = B000EDOT9Q>, 1359504000, 5],0.38095238095238093
[<Product: Product Asin = B000EH4V0Y>, 1396828800, 5],[<Product: Product Asin = B000CMHKRC>, 1396828800, 5],0.5523809523809524
[<Product: Product Asin = B000EH4V0Y>, 1396828800, 5],[<Product: Product Asin = B000RFUF12>, 1396828800, 5],0.3238095238095238
[<Product: Product Asin = B000EJS9IM>, 1292889600, 4],[<Product: Product Asin = B00008BKX5>, 1313020800, 5],1.0
[<Product: Product Asin = B000EJS9IM>, 1292889600, 4],[<Product: Product Asin = B0002JJU1Y>, 1404000000, 4],1.0
[<Product: Product Asin = B000EJS9IM>, 1292889600, 4],[<Product: Product Asin = B0002KRABU>, 1404000000, 2],1.0
[<Product: Product Asin = B000EJS9IM>, 1292889600, 4],[<Product: Product Asin = B0006IX7TW>, 1369180800, 4],1.0
[<Product: Product Asin = B000EJS9IM>, 1292889600, 4],[<Product: Product Asin = B000JK2D06>, 1380067200, 5],1.0
[<Product: Product Asin = B000EJS9IM>, 1292889600, 4],[<Product: Product Asin = B0015KROXU>, 1309046400, 2],1.0
[<Product: Product Asin = B000EJS9IM>, 1292889600, 4],[<Product: Product Asin = B0015YBYCS>, 1405209600, 4],1.0
[<Product: Product Asin = B000EJS9IM>, 1292889600, 4],[<Product: Product Asin = B001KS2PXQ>, 1350518400, 4],1.0
[<Product: Product Asin = B000EXSER4>, 1326240000, 3],[<Product: Product Asin = B000SQFD4O>, 1326240000, 5],0.638095238095238
[<Product: Product Asin = B000F7VKD4>, 1231632000, 5],[<Product: Product Asin = B0009JKISG>, 1231286400, 5],0.6571428571428571
[<Product: Product Asin = B000FKKOK6>, 1255046400, 5],[<Product: Product Asin = B000DINKPQ>, 1259625600, 5],0.8666666666666667
[<Product: Product Asin = B000FKKOK6>, 1282435200, 5],[<Product: Product Asin = B000DINKPQ>, 1282435200, 5],0.9904761904761905
[<Product: Product Asin = B000FKKOK6>, 1386720000, 5],[<Product: Product Asin = B000DN7T3A>, 1386720000, 5],0.9238095238095239
[<Product: Product Asin = B000FW2MWW>, 1386892800, 5],[<Product: Product Asin = B00068XCQU>, 1386892800, 5],0.5619047619047619
[<Product: Product Asin = B000FW2MWW>, 1386892800, 5],[<Product: Product Asin = B000NCOKZQ>, 1386892800, 5],0.5523809523809524
[<Product: Product Asin = B000FW2MWW>, 1399680000, 5],[<Product: Product Asin = B000CIPHUI>, 1399680000, 5],0.49523809523809526
[<Product: Product Asin = B000FW2MWW>, 1399680000, 5],[<Product: Product Asin = B002DU3TTO>, 1399680000, 5],0.44761904761904764
[<Product: Product Asin = B000FW2MWW>, 1370649600, 5],[<Product: Product Asin = B0020T17J2>, 1370649600, 5],0.38095238095238093
[<Product: Product Asin = B000FW2MWW>, 1370649600, 5],[<Product: Product Asin = B000GZPH2U>, 1370649600, 5],0.34285714285714286
[<Product: Product Asin = B000FW2MWW>, 1393027200, 5],[<Product: Product Asin = B002DU3TTO>, 1393027200, 5],0.6857142857142857
[<Product: Product Asin = B000FW7V50>, 1397779200, 4],[<Product: Product Asin = B0006305RY>, 1397779200, 4],0.7904761904761904
[<Product: Product Asin = B000GZPH2U>, 1370649600, 5],[<Product: Product Asin = B0020T17J2>, 1370649600, 5],0.4095238095238095
[<Product: Product Asin = B000GZPH2U>, 1370649600, 5],[<Product: Product Asin = B000FW2MWW>, 1370649600, 5],0.34285714285714286
[<Product: Product Asin = B000IYDEPG>, 1364256000, 5],[<Product: Product Asin = B005JU5VUK>, 1364256000, 5],0.9523809523809523
[<Product: Product Asin = B000IYDEPG>, 1364256000, 5],[<Product: Product Asin = B005JU5XOO>, 1364169600, 5],0.4666666666666667
[<Product: Product Asin = B000JFJM14>, 1370995200, 5],[<Product: Product Asin = B0002SR7TC>, 1370995200, 3],0.38095238095238093
[<Product: Product Asin = B000JK2D06>, 1380067200, 5],[<Product: Product Asin = B00008BKX5>, 1313020800, 5],1.0
[<Product: Product Asin = B000JK2D06>, 1380067200, 5],[<Product: Product Asin = B0002JJU1Y>, 1404000000, 4],1.0
[<Product: Product Asin = B000JK2D06>, 1380067200, 5],[<Product: Product Asin = B0002KRABU>, 1404000000, 2],1.0
[<Product: Product Asin = B000JK2D06>, 1380067200, 5],[<Product: Product Asin = B0006IX7TW>, 1369180800, 4],1.0
[<Product: Product Asin = B000JK2D06>, 1380067200, 5],[<Product: Product Asin = B000EJS9IM>, 1292889600, 4],1.0
[<Product: Product Asin = B000JK2D06>, 1380067200, 5],[<Product: Product Asin = B0015KROXU>, 1309046400, 2],1.0
[<Product: Product Asin = B000JK2D06>, 1380067200, 5],[<Product: Product Asin = B0015YBYCS>, 1405209600, 4],1.0
[<Product: Product Asin = B000JK2D06>, 1380067200, 5],[<Product: Product Asin = B001KS2PXQ>, 1350518400, 4],1.0
[<Product: Product Asin = B000KPU8F2>, 1401580800, 5],[<Product: Product Asin = B0002STTPW>, 1401580800, 5],0.5428571428571428
[<Product: Product Asin = B000KPU8F2>, 1401580800, 5],[<Product: Product Asin = B000O80AZS>, 1401580800, 5],0.3238095238095238
[<Product: Product Asin = B000KPU8F2>, 1401580800, 5],[<Product: Product Asin = B0050SFZBG>, 1401580800, 5],0.3238095238095238
[<Product: Product Asin = B000N9VF6Q>, 1394150400, 5],[<Product: Product Asin = B000WN5F96>, 1378339200, 5],0.9333333333333333
[<Product: Product Asin = B000NCOKZQ>, 1399852800, 5],[<Product: Product Asin = B0041CDPQO>, 1399939200, 5],0.41904761904761906
[<Product: Product Asin = B000NCOKZQ>, 1386892800, 5],[<Product: Product Asin = B00068XCQU>, 1386892800, 5],0.9904761904761905
[<Product: Product Asin = B000NCOKZQ>, 1386892800, 5],[<Product: Product Asin = B000FW2MWW>, 1386892800, 5],0.5523809523809524
[<Product: Product Asin = B000NCOKZQ>, 1395964800, 4],[<Product: Product Asin = B00068XCQU>, 1395964800, 5],0.3142857142857143
[<Product: Product Asin = B000NCS7GE>, 1360627200, 5],[<Product: Product Asin = B003BZD08U>, 1360627200, 5],0.638095238095238
[<Product: Product Asin = B000O80AZS>, 1401580800, 5],[<Product: Product Asin = B0050SFZBG>, 1401580800, 5],0.6761904761904762
[<Product: Product Asin = B000O80AZS>, 1401580800, 5],[<Product: Product Asin = B004SL8568>, 1401580800, 5],0.5714285714285714
[<Product: Product Asin = B000O80AZS>, 1401580800, 5],[<Product: Product Asin = B0002STTPW>, 1401580800, 5],0.45714285714285713
[<Product: Product Asin = B000O80AZS>, 1401580800, 5],[<Product: Product Asin = B000KPU8F2>, 1401580800, 5],0.3238095238095238
[<Product: Product Asin = B000OQMHEC>, 1378857600, 3],[<Product: Product Asin = B0009OMY92>, 1378857600, 4],0.44761904761904764
[<Product: Product Asin = B000Q3OTQC>, 1405209600, 5],[<Product: Product Asin = B0013935FY>, 1405209600, 5],0.8952380952380953
[<Product: Product Asin = B000Q3OTQC>, 1405209600, 5],[<Product: Product Asin = B00DBH8W4K>, 1405209600, 5],0.580952380952381
[<Product: Product Asin = B000Q3OTQC>, 1405209600, 5],[<Product: Product Asin = B003YMBO2E>, 1405209600, 5],0.5523809523809524
[<Product: Product Asin = B000Q3OTQC>, 1405209600, 5],[<Product: Product Asin = B002ZTGLCK>, 1405209600, 5],0.5142857142857142
[<Product: Product Asin = B000RFUF12>, 1396828800, 5],[<Product: Product Asin = B000CMHKRC>, 1396828800, 5],0.5142857142857142
